id,manual_title_zh,manual_summary,review_status,reviewer_notes,model
"b142009799e4474e","Sartorius与LFB扩大合作，打通从细胞株开发到首批GMP原液的服务链","Sartorius与LFB Biomanufacturing扩大2024年启动的合作：Sartorius负责细胞株开发和主细胞库建立，LFB提供上下游工艺开发、分析检测及GMP原液生产，目标是减少项目交接并缩短从细胞株到临床的周期。对ACRO而言，这是竞品向端到端生物工艺服务整合的信号，应持续对比其在细胞株、培养基、质量检测和GMP原料环节的客户覆盖。","verified","已核对Sartorius 2026年6月23日官方公告","ChatGPT Pro"
"6fede91478efe6b8","Sartorius与LFB扩展生物制药CDMO合作，提供一体化临床转化路径","Sartorius与LFB Biomanufacturing将细胞株开发、主细胞库、工艺开发、分析检测及GMP原液生产串成一条服务路径，降低生物药项目在不同供应商之间切换的时间和执行风险。该报道与Sartorius官方公告属于同一事件，应合并观察；对ACRO的意义主要是竞品服务边界正在从单项工具向综合解决方案延伸。","verified","已核对报道并与Sartorius官方公告交叉确认，属于同一事件","ChatGPT Pro"
"448fa7e0ced9f107","Sartorius与LFB强化从细胞株开发到GMP生产的一体化合作","双方在既有合作基础上进一步整合能力，由Sartorius提供细胞株开发和主细胞库服务，LFB承接工艺开发、检测及GMP原液制造，为客户提供更连续的临床前转化路径。该条与另外两篇报道是同一事件的重复传播，平台应统一口径并避免把重复报道误判为三次独立竞争动作。","verified","已核对BioSpectrum Asia报道并与Sartorius官方原文交叉确认","ChatGPT Pro"
"ca7fdd02fe028310","宝生物与10x Genomics签署专利许可，Seeker和Trekker空间分析产品可在全球销售","宝生物美国控股子公司与10x Genomics就空间转录组产品Seeker和Trekker签署专利许可，由此解除销售区域限制并解决相关专利争议。这两项技术来自宝生物2025年收购的Curio Bioscience，被其视为空间多组学增长领域的核心产品。该事件属于研究工具平台和全球商业化能力扩张信号，不代表10x Genomics已成为ACRO客户。","verified","已核对Takara Bio 2026年6月23日官方公告","ChatGPT Pro"
"37ec971dc3f3d237","卫材与Biogen在美国推出LEQEMBI IQLIK自注射器，用于早期阿尔茨海默病起始治疗","卫材与Biogen已在美国供应LEQEMBI IQLIK每周一次皮下自注射方案，用于早期阿尔茨海默病的起始治疗。起始剂量为500 mg，由两支250 mg注射器连续给药，每支约15秒；治疗18个月后也可采用每周360 mg维持剂量。该产品降低静脉输注负担，但ARIA相关MRI监测要求仍然存在；本条是上市可及性节点，不应再次写成FDA新批准。","verified","已核对Eisai 2026年8月24日上市公告及7月13日FDA批准公告","ChatGPT Pro"
"57a472ed5652c649","LEQEMBI IQLIK自注射器在美国上市，覆盖早期阿尔茨海默病起始与维持治疗","LEQEMBI IQLIK已在美国用于早期阿尔茨海默病起始治疗，使患者可以在家完成每周一次皮下注射，并可在静脉输注和皮下给药之间切换。起始治疗采用500 mg剂量，完成18个月治疗后可转为360 mg维持剂量。对市场观察而言，重点是给药便利性和治疗路径变化，而不是把此次上市供应与此前的监管批准重复计为两个产品里程碑。","verified","已核对Eisai和Biogen官方公告；与上一条为同一上市事件","ChatGPT Pro"
"52d55e8f78a9582b","中外制药与UCSF建立多年药物发现合作框架，首个研究项目已启动","中外制药与加州大学旧金山分校签署多年共同研究框架，覆盖疾病生物学、新靶点发现和新治疗方式探索，首个具体研究项目已经启动。合作将结合UCSF的转化科学能力与中外制药的抗体工程、SnipeTide环肽及小分子技术。对ACRO而言，这是早期研发和开放创新需求信号，可跟踪后续项目披露，但不能据框架协议直接推断具体采购。","verified","已核对中外制药2026年8月7日日英双语官方公告","ChatGPT Pro"
"b55d823246655df2","中外制药与加州大学旧金山分校签署药物发现共同研究协议","该协议不是单一候选药合作，而是用于连续启动多个早期研究项目的多年框架，研究范围包括疾病机制、新靶点和新治疗方法。中外制药将提供抗体工程、环肽和小分子发现能力，UCSF提供前沿基础研究与转化科学。该媒体报道与中外制药官方公告属于同一事件，应合并为一条合作关系证据。","verified","已核对日经报道标题并与中外制药官方公告交叉确认","ChatGPT Pro"
"bd79fc36000637d8","盐野义与鸟居药品在日本申报0.5% CORECTIM乳液新剂型","盐野义与鸟居药品已为外用JAK抑制剂delgocitinib的0.5%乳液剂型提交日本制造销售批准申请。现有软膏剂已覆盖成人和儿童特应性皮炎，新乳液主要改善头皮及有毛部位的涂用便利性；申请依据包括I期皮肤安全性试验和III期与软膏剂的生物等效性试验。当前状态是已申报而非已批准，和ACRO核心蛋白业务的直接相关性较低。","verified","已核对Shionogi 2026年2月27日官方公告","ChatGPT Pro"
"95f82e6a342421a4","Kissei膀胱癌溶瘤免疫疗法III期结果发表，计划在美国申报完成后推进日本申请","Cretostimogene grenadenorepvec用于BCG无应答高风险非肌层浸润性膀胱癌的BOND-003 III期队列C达到75.5%完全缓解率；达到完全缓解者在12个月和24个月维持无病的比例分别为64.2%和60.1%，未观察到3级以上不良事件。Kissei拥有中国以外亚洲20国权益，计划在美国滚动申报完成后准备日本申请。这是明确的后期临床与区域商业化信号。","verified","已核对Kissei 2026年8月17日官方公告及其Lancet Oncology数据说明","ChatGPT Pro"
"8fa79b5800a33dfb","MilliporeSigma在德国启用2500万欧元BioReliance检测中心，扩大欧洲放行与稳定性服务","Merck KGaA生命科学业务在达姆施塔特启用投资2500万欧元、面积约2000平方米的BioReliance检测设施，提供商业原液和制剂放行检测，以及符合GMP的稳定性研究，重点覆盖单抗和细胞治疗。新站点靠近欧洲临床试验枢纽，表明其正在加强从开发到商业化的本地检测服务。对ACRO而言，应将其视为质量检测和生物安全服务能力扩张，而不是一般办公设施投资。","verified","已核对MilliporeSigma 2026年7月16日官方发布内容","ChatGPT Pro"
"d50238d39d4b95e4","Astorg完成收购赛默飞全球微生物业务，拟将其打造为独立诊断公司","Astorg已完成对赛默飞全球微生物业务的收购，该业务将由独立管理团队运营，并计划在2026年晚些时候启用新品牌，继续服务临床诊断、食品安全和制药市场。对ACRO而言，这是赛默飞调整业务组合的竞争环境信号，而非新品发布；后续应观察新公司的品牌、渠道和制药客户策略是否发生变化。","verified","已核对Astorg 2026年8月12日官方公告；与已精读条目统一口径","ChatGPT Pro"
"6e9ac55b265d023b","赛默飞与Arcturus合作，为囊性纤维化mRNA疗法ARCT-032的潜在III期和商业化做准备","赛默飞将通过Accelerator Drug Development整合制造、临床研究和商业准备能力，支持Arcturus的吸入式mRNA候选药ARCT-032。若II期结果积极，Arcturus计划由赛默飞PPD业务执行III期，赛默飞还将提供临床供应，并在产品获批后取得独家商业生产权。III期决策预计在2026年第四季度，因此当前应写成后期开发准备，而不是已经启动III期试验。","verified","已核对Arcturus 2026年7月2日官方合作公告及8月6日管线更新","ChatGPT Pro"
